Taxon	log_odcl
Hamadasuchus_rebouli	1.995196292
Machimosaurus_hugii	2.588831726
Machimosaurus_mosae	2.605305046
Purussaurus_brasiliensis	2.588607805
Hsisosuchus_dashanpuensis	2.026124517
Fruitachampsa_callisoni	1.431363764
Torvoneustes_coryphaeus	2.451172158
Torvoneustes_carpenteri	2.275080898
Tyrannoneustes_lythrodectikos	2.498999364
Chenanisuchus_lateroculi	2.283753383
Chenanisuchus_lateroculi	2.336459734
Mecistops_cataphractus	2.157758886
Crocodylus_niloticus	2.200303183
Gavialis_gangeticus	2.13289977
Melanosuchus_niger 	2.33485569
Tomistoma_schlegelii	2.182129214
Paleosuchus_palpebrosus	2.025715384
Paleosuchus_trigonatus	2.073351702
Alligator_mississippiensis	2.22685757
Alligator_sinensis	2.028977705
Caiman_crocodilus  	2.038620162
Mecistops_cataphractus	2.139564266
Crocodylus_niloticus	2.334453751
Crocodylus_porosus 	2.204119983
Crocodylus_rhombifer	2.090963077
Melanosuchus_niger 	2.492620722
Osteolaemus_tetraspis	2.120244796
Mourasuchus_amazonensis	2.301464073
Leidyosuchus_canadensis	2.014100322
Ikanogavialis_gameroi	2.102433706
Siquisiquesuchus_venezuelensis	2.281260687
Gryposuchus_pachakamue	2.112269768
Acynodon_adriaticus	1.825426118
Acynodon_iberoccitanus	1.949877704
Agaresuchus_fontisensis	2.092018471
Agaresuchus_fontisensis	2.128722284
Agaresuchus_subjuniperus	2.028571253
Alligator_mefferdi	2.064457989
Alligator_olseni	2.054613055
Alligator_thomsoni	2.096910013
Nannosuchus_gracilidens	1.782472624
Allodaposuchus_precedens	2.146748014
Anteophthalmosuchus_hooleyi	2.100715087
Eutretauranosuchus_delfsi	1.966610987
Anthracosuchus_balrogus	2.502017215
Amphicotylus_lucasii	2.11058971
Arenysuchus_gascabadiolorum	1.781036939
Bernissartia_fagesii	1.7355989
Borealosuchus_acutidentatus	2.13225969
Borealosuchus_formidabilis	2.265525335
Borealosuchus_sternbergii	2.066325925
Boverisuchus_magnifrons	1.930439595
Caiman_latirostris	2.061075324
Caiman_yacare	2.13893394
Calsoyasuchus_valliceps	2.208978517
Cerrejonisuchus_improcerus	2.048053173
Chalawan_thailandicus	2.507990725
Crocodylus_acer	2.021189299
Dromicosuchus_grallator	1.766412847
Gasparinisuchus_peirosauroides	2.13289977
Gavialis_bengawanicus	2.20790353
Gobiosuchus_kielanae	1.597695186
Goniopholis_baryglyphaeus	1.940516485
Goniopholis_kiplingi	2.1752218
Gryposuchus_colombianus	2.202488317
Isisfordia_duncani	1.781036939
Kambara_implexidens	2.076640444
Lomasuchus_palpebrosus	2.049218023
Melanosuchus_fisheri	2.064457989
Orthosuchus_stormbergi	1.73479983
Orthogenysuchus_olseni	2.096214585
Paralligator_gradilifrons	1.940018155
Paralligator_major	2.310268367
Pholidosaurus_purbeckensis	2.112939976
Pietraroiasuchus_ormezzanoi	1.51851394
Prodiplocynodon_langi	2.187520721
Protosuchus_haughtoni	1.599883072
Purussaurus_mirandae	2.531478917
Rugosuchus_nonganensis	1.897627091
Sphenosuchus_acutus	1.847572659
Stangerochampsa_mccabei	1.980911938
Thecacampsa_americana	2.302763708
Thecachampsa_carolinensis	2.31386722
Knoetschkesuchus_guimarotae	1.59439255
Toyotamaphimeia_machikanensis	2.377670439
Wannaganosuchus_brachymans	1.839478047
Teleidosaurus_calvadosii	2.176091259
Eoneustes_bathonicus	2.21005085
metriorhynchus_brachyrhynchus	2.408070286
metriorhynchus_casamiquelai	2.337858429
Purranisaurus_potens	2.284430734
Dakosaurus_maximus	2.308350949
Dakosaurus_andiniensis	2.46612587
Geosaurus_grandis	2.331427297
Metriorhynchus_geoffroyii	2.453471234
Gracilineustes_leedsi	2.307067951
Rhacheosaurus_gracilis	2.084576278
Cricosaurus_vignaudi	2.237040791
Cricosaurus_lithographicus	2.272305844
Sokotosuchus_ianwilsoni	2.332236415
Arambourgisuchus_khouribgaensis	2.519171464
Dyrosaurus_maghribensis	2.386320574
Atlantosuchus_coupatezi	2.379849179
Guarinisuchus_munizi	2.225050696
Rhabdognathus_keiniensis	2.244771761
Hyposaurus_rogersii	2.009450896
Eosuchus_lerichei	2.086003706
Knoetschkesuchus_langenbergensis	1.292256071
Globidentosuchus_brachyrostris	2.124504225
